address,experience1,experience2,experience3,experience4,category,city,description,displayTitle,email,image1,image2,image3,image4,name,phone,subTitle,website,zipcode
N9503 County Rd K,,,,,Supper Club,Merrillan,At the intersection of Clark and Jackson County ATV Trails you will find the Inwood Supper Club. We are a family-owned restaurant dedicated to providing exceptional food and hospitality to our guests. We take pride in creating memorable experiences.,,2841310@gmail.com,,,,,Inwood Supper Club,715-333-6653,,inwood-supper-club.business.site,54754
131 S Main Street,,,,,Supper Club,Iron Ridge,"Iron Ridge Inn is a family-owned Supper Club that has been operated by 2 generations for over 50 years. Our mouthwatering Prime Rib is offered every Wednesday, Friday, & Saturday. We are well known for our steaks, seafood, and broasted chicken.",,jarednehls@hotmail.com,,,,,Iron Ridge Inn,920-387-3348,,www.ironridgeinn.com,53035
1319 E Henry Clay Street,,,,,Supper Club,Whitefish Bay,"A historic landmark and a small business in Whitefish Bay, its been owned and operated by the Pandl family since 1915. Our menu offers classic German dishes along with some American staples. We have something for the whole family.",,ryan@jackpandls.com,,,,,Jack Pandl's Whitefish Bay Inn,414-964-3800,,jackpandls.com,53217
E5690 County Road D,,,,,Supper Club,Menomonie,"Jake’s has been a local landmark for decades.  Located in the heart of Tainter Lake, five miles north of Menomonie, we pride ourselves on great food, and a cozy atmosphere.",,,,,,,Jake's Supper Club,715-235-2465,,www.jakessupperclub.com,54751
200 N Lake Avenue,,,,,Supper Club,Crandon,Jameson’s is located in the historic Crandon Hotel. We provide a fusion of traditional Wisconsin steakhouse and French cuisine.,,Communityconnect@yahoo.com,,,,,Jameson’s 1930 Inn,715-478-2414,,,54520
1022 W Johnson Street,,,,,Coffee,Madison,"Surrounded by University of Wisconsin campus, Java Den is a clean, modern coffee shop inside the Grand Central apartment building.",,info@lz-management.com,,,,,Java Den,,,,53715
301 Main Street,,,,,Coffee,Star Prairie,"We have fresh roasted coffee, espresso drinks and baked goods. We have breakfast sandwiches available all day.We roast our beans in house! The “house,” our shop, just happens to be a retired Post Office built in 1905.",,quinn@jewelltownroastery.com,,,,,Jewelltown Roastery,7154941090,,https://www.jewelltownroastery.com/,54026
207 W Main Street,,,,,Supper Club,Bowler,"Supper Club specializing in unique drinks and great food. Hours of operation:Friday & Saturday 4pm-8pm",,jjsonmain2018@gmail.com,,,,,JJ’s on Main in Bowler,715-793-4457,,,54416
37505 US-18,,,,,Coffee,Prairie du Chien,"Open daily, Joe 2 Go or Stay is a convenient stop in the beautiful town of Prairie du Chien. Offering a wide variety of specialty espresso drinks, drip coffee, smoothies and quick bites to eat. Drive thru or stop in and hang out.",,karylfritsche@yahoo.com,,,,,Joe 2 Go or Stay,6084120868,,http://www.joe2gopdc.com/,53821
W9594 US-8,,,,,Supper Club,Ladysmith,"We were established in 2013. We are the last Supper Club in Rusk County and are known for our Prime Rib, Fish Fry, Old Fashions and catering.",,js.supperclub19@gmail.com,,,,,JS Supper Club,715-532-7897,,jssupperclubandcatering.com,54848
107 W Ormsby Street,,,,,Supper Club,Oxford,"Family run and family friendly restaurant with a Supper Club vibe, serving delicious food made from the heart! Burgers, sandwiches, pizzas, and fun, creative specials available regularly. Hours: Wed-Fri 4-9 PM | Sat & Sun 12-9 PM",,k8rtot1987@gmail.com,,,,,KD's Pub & Grub,608-586-6100,,,53952
827 W Kickapoo Street,,,,,Supper Club,Readstown,"Kickapoo Creekside is a clean, modern eatery featuring a large menu with traditional Supper Club dishes. We feature pasta, steak, seafood, burgers & sandwiches. Don’t miss our ice cream drinks.",,danedregne@gmail.com ,,,,,Kickapoo Creekside,608-629-5565,,www.kickapoocreekside.com,54652
2499 County Hwy SS,,,,,Supper Club,Rice Lake,"Kincaid’s Country Inn is located in beautiful Barron County staged in an iconic restaurant that hungry customers in the Northwoods have been visiting for generations. We’re here to spoil you with great food, so think cheese curds, steaks, and seafood!",,kincaidscountryinn@yahoo.com,,,,,Kincaid’s Country Inn,715-234-4803,,kincaidscountryinn.com,54868
W2890 County Rd EE,,,,,Supper Club,Seymour,"Our menu includes hand-cut steaks, fresh seafood and nightly features. We have two dining rooms and two salad bars. After enjoying your meal, enjoy a homemade dessert. Closed Sundays. Reservations accepted weekdays.",,krabbessupperclub@gmail.com,,,,,Krabbe’s Kountry Klub,920-833-2600,,krabbessupperclub.com,54165
4570 Shawano Avenue,,,,,Supper Club,Green Bay,Kropp’s specializes in two important aspects of life: food & family. We believe food isn’t something you eat - it’s something you experience.,,,,,,,Kropp's Supper Club,920-865-7331,,kroppssupperclub.com,54313
1612 E Hotel Drive,,,,,Supper Club,Edgerton,"Lake House Inn Edgerton has a long history of serving up atmosphere, great food and excellent service. Reopened in late 2023, we are bringing it back with a fresh look.",,loriscottage@gmail.com,,,,,Lake House Inn,608-235-2771,,lakehouseinnedgerton.com,53534
21540 Co Hwy M,,,,,Supper Club,Cable,"Embark on a Northwoods dining experience at Lakewoods Resort. Indulge in steaks, seafood, and regional specialties and enjoy panoramic views of Lake Namakagon. Join us and savor an unforgettable experience for breakfast, lunch, or dinner all while soaking in nature’s beauty.",,,,,,,Lakewoods Resort,715-794-2561,,www.lakewoodsresort.com,54821
233 E College Avenue,,,,,Coffee,Appleton,"Lawlss is a creative, modern coffee brand in a Downtown shop stretching its history back decades. Inviting, homey, clean and modern. This extends to their house roasted coffee 
and beyond.",,,,,,,Lawlss - Appleton,9209392200,,http://lawlsscoffee.com/,54911
108 S Madison Avenue,,,,,Coffee,Sturgeon Bay,"Lawlss is a creative, modern coffee brand in a historic bank building Downtown Sturgeon Bay. Inviting, homey, clean and modern. This extends to their house roasted coffee and beyond.",,,,,,,Lawlss - Door County,9208181618,,http://lawlsscoffee.com/,54235
124 W Wisconsin Avenue,,,,,Coffee,Neenah,"Lawlss is a creative, modern coffee brand in a historic Downtown shop. Inviting, homey, clean, spacious and modern. This is where the coffee is roasted.",,,,,,,Lawlss - Neenah,9204863057,,http://lawlsscoffee.com/,54956
W3731 Club House Drive,,,,,Supper Club,Lake Geneva,"Come enjoy our full service bar, relaxing supper club atmosphere, and covered deck for outdoor seating.  Our daily specials and handcrafted cocktails are sure to make your experience a legendary one!",,,,,,,Legends Food & Spirits,262-203-5474,,www.legendsfoodandspirits.com,53147
3140 Edmonton Dr # 100,,,,,Coffee,Sun Prairie,Craft coffees and sodas with a twist. We have a drive-thru and sit down option for visitors and kids of all ages. Our hope is to spark a nostalgic look into the past when you could jump up on the bar stool and order a soda the way that you want it.,,livsdrinks@yahoo.com,,,,,Liv's Drink Emporium,6084781936,,https://www.livsdrinks.com/soda/,53590
2061 Louisburg Road,,,,,Supper Club,Cuba City,"We are the epitome of a traditional Wisconsin Supper Club. We’re located just off of Hwy 151, near Kieler. We’ve been awarded the “Best Supper Club in Grant County” and are the home of the Old Fashioned Flight Board.Hours: Thurs-Sun 4pm-9pm",,pls732@yahoo.com,,,,,Louisburg Junction Supper Club,608-744-3663,,www.louisburgjunction.com,53807
333 Main Street,,,,,"Coffee, Ice Cream",Darlington,Meet the Farmer. Know the cows. Love the Treats! Fun fact: Lafayette County where we reside has the most cows in the state! We offer a variety of coffee/non-coffee drinks. Gelato is another speciality of ours!,,Mccomishaj@gmail.com,,,,,Lucky Cow Coffee & Gelato,6084821985,,http://www.mccomishfamilyfarms.com/,53530
330 Main Avenue,,,,,Coffee,De Pere,"Luna is a small batch coffee roaster established in 2000. Established in the heart of Downtown De Pere, Luna is a warm, inviting coffee shop that offers a wide variety of drinks in addition to sandwiches, bagels, salads, soups, and more.",,coffee@lunacafe.com,,,,,Luna Coffee Roasters,,,https://lunacafe.com/,54115
5033 Evergreen Drive,,,,,Supper Club,Sheboygan,"We are nestled in the evergreens. We offer a fine menu of American Cuisine, complimented with local favorites. Not hungry? Sit at the bar and choose from our large selection of beer, wine, and liquor. ",,Nicole.Majerle@BlackRiverGrill.com,,,,,Majerle’s Black River Grill,920-803-5115,,blackrivergrill.com,53081
722 Main Streets,,,,,Supper Club,Wausaukee,"We offer a fine dining ambience in the northwoods. Our menu offers everything from steaks, seafood, chicken, and pastas, and all of our dinners include our salad bar. Don’t forget to save room for dessert or an ice cream drink.",,manoronmain722@gmail.com,,,,,Manor on Main,715-856-5966,,manor-on-main.edan.io,54177
5339 Lighthouse Bay Drive,,,,,Supper Club,Madison,Waterfront dining on Madison’s north shore.  Extensive indoor and outdoor seating.  Live music outdoors all summer. Owned and operated by Madison’s von Rutenberg family.  Famous for our steaks and seafood.,,jackvonr@gmail.com,,,,,Mariner's,608-246-3120,,www.marinersmadison.com,53704
1405 E Wisconsin Avenue,,,,,Supper Club,Appleton,"Mark’s East Side specializes in German fare, hand-cut steaks, high-end seafood, and spirits in a warm and inviting Supper Club atmosphere.",,sheaj209@gmail.com,,,,,Mark's East Side,920-733-3600,,www.markseastside.com,54911
1748 Eagan Road,,,,,Coffee,Madison,"We are an independent, specialty coffee shop serving breakfast, lunch, smoothies and more! We are dedicated to serving our community quality products and fighting human trafficking in Wisconsin.",,merciescoffee@gmail.com,,,,,Mercies Coffee,4252363309,,,53704
3101 Eagle Road,,,,,Supper Club,Kansasville,Hidden gem located on Eagle Lake. Dine inside or outside. Enjoy a featured beverage along with any of our homemade entrées and desserts. Make your memories at our Supper Club.,,mmolitor2007@gmail.com,,,,,Michael's on the Lake,262-878-3313,,www.michaelsonthelakewi.com,53139
1804 Plover Road,,,,,Coffee,Plover,"We have staff that have been well trained in the coffee industry. We roast our own blends with fresh beans that originate from across the globe. We proudly source, roast and brew our coffee right here in Plover, WI.",,russ@missioncoffeehouse.com,,,,,Mission Coffee House,7155440730,,http://missioncoffeehouse.com/,54467
W8326 County Rd MM,,,,,Supper Club,Hortonville,"We have a nice outdoor bar in the backyard. The Supper Club is on the smaller side, we seat about 30 in the front bar and the dining room seats about 40-50. This place was in business since the 1930’s under different names.",,john.heegeman@yahoo.com,,,,,MJ’s Supper Club,920-779-9701,,,54944
606 N Lawe Street,,,,,Coffee,Appleton,"Located in a historic downtown Appleton neighborhood, Moon Water is a unique vibe. Please stop by our boutique cafe. Offering Baked Bread, Scones, Galettes, Tea, pour-over drinks, and a seriously relaxed atmosphere.",,slbvine@icloud.com ,,,,,Moon Water Cafe,9204756992,,,54911
607 Church Avenue,,,,,Supper Club,Casco,"We are well known for our fabulous broasted chicken! Great food, great spirits, great friends!One thing that we would like to specify is that we’re cash only, no plastic.",,,,,,,Moxie's Supper Club,920-837-7552,,,54205
106 S Military Road,,,,,"Coffee, Cafe",Stockbridge,"The passionate Team at Mud Creek Coffee have worked hard to create something unexpected for patrons and to offer quality coffee and fresh, nutritious food in a relaxing, clean and stylish environment. Seasonal drinks and unique food specials along with a retail section offering wine, natural soaps and lotions, coffee beans (of course), and local art.",,mudcreekmail@gmail.com ,,,,,Mud Creek Coffee,9204391096,,https://mudcreekcoffee.com/,53088
W571 Castle Drive,,,,,"Coffee, Cafe",Sherwood,"The passionate Team at Mud Creek Coffee have worked hard to create something unexpected for patrons and to offer quality coffee and fresh, nutritious food in a relaxing, clean and stylish environment. Seasonal drinks and unique food specials along with a retail section offering wine, natural soaps and lotions, coffee beans (of course), and local art.",,mudcreekmail@gmail.com ,,,,,Mud Creek Coffee - Sherwood,9204391098,,https://mudcreekcoffee.com/,54169
108 3rd Street,,,,,Coffee,Baraboo,"A family owned coffee house and roastery located in the heart of downtown Baraboo. Live music, free arcade games, and an inviting atmosphere for all to enjoy. It’s a vibe!",,nauticalcoffeeco@gmail.com,,,,,Nautical Coffee Co.,6085818141,,http://nauticalcoffeeco.com/,53913
715 Hunt Club Ct Unit C,,,,,Coffee,Lake Geneva,"Conveniently tucked in the seat of Geneva National Area, Niche fills the neighborhood’s needs as both a cafe and wine bar with offerings of coffee, wine, specialty drinks and gourmet food options. With beans expressly blended for Niche, sourced from premium coffees from Columbia.",,manager@nichelg.com,,,,,Niche Cafe & Winebar,2625816800,,http://www.nichelg.com/,53147
1541 Egg Harbor Road,,,,,Supper Club,Sturgeon Bay,"Serving Door County since 1913, the Nightingale Supper Club serves steaks, seafood, soups, salads, beer, wine, and cocktails.",,jheikkila54@gmail.com,,,,,Nightingale Supper Club,920-743-5593,,www.nightingalesupperclub.com,54235
N12808 Northway Drive,,,,,Supper Club,Athelstane,This building is a historic treasure located in Downtown Athelstane. The current owner has had it for 30 plus years. The sign on the door says “Older than dirt”. We have a newly renovated bar and inviting dining room that offers an extensive dinner menu. Sundays we serve our full menu from 11am to close.,,pdjohns14@hotmail.com,,,,,Nimrod Inn Supper Club,715-856-5168,,,54104
11084 WI-70,,,,,Supper Club,Woodruff,"We are an American grill featuring locallysourced ingredients. Serving scratch cocktails, and homemade desserts in a kid-friendly environment. Enjoy daily dinner features, gluten-free and vegetarian options.",,,,,,,Northfork Fin & Filet,715-439-4093,,www.northforkff.com,54568
2690 Research Park Dr E,,,,,Coffee,Fitchburg,"We serve a variety of coffee (locally roasted by EVP), bakery items, breakfast, and our signature pelmeni for every palate.Serving coffee, tea, sandwiches, salads, and breakfast burritos.",,oasiscafefitchburg@gmail.com,,,,,Oasis Cafe,6084676572,,https://www.oasiscafefitchburg.com/order/,53711
204 W Main Street,,,,,Supper Club,Winneconne,"Off the Wolf is a long-time establishment.  New owners, Jeff and Jennifer took over in the Summer of 2020.  We offer a variety of entrees including steaks, seafood, pasta dishes, sandwiches and salads.",,jjschmitz1998@yahoo.com,,,,,Off the Wolf Supper Club,920-582-4422,,www.offthewolfsupperclub.com,54986
100 E Old Town Rd #8201,,,,,Supper Club,Westby,"Blane and Mary, new owners of the Old Towne Inn, would like to welcome you to our Supper Club. We hope your visit will be a truly wonderful experience.",,oldtowneinnsupperclub@gmail.com,,,,,Old Towne Inn,608-634-3991,,oldtowneinnwestby.com,54667
N2319 State Hwy 13,,,,,Supper Club,Medford,"Great steaks, veal entrées, lamb, seafood and more.Serving Tues-Sat, 4:30-8:30 pm",,anne.brost6003@gmail.com,,,,,P & E Steakhouse,715-748-2975,,pesteakhouse.com,54451
5912 US-51 BUS,,,,,Supper Club,Weston,"Following the Great Depression, Frank Roller built the first round bar in Wisconsin, and also in the nation. At the end of World War II, the tavern was sold to Butch & Helen Palm, who changed the name to, “The Palms.” Stop in 7 days a week for lunch or dinner starting at 11 AM where we serve “Paradise On Your Plate”!",,thepalmssupperclub@gmail.com,,,,,Palms Supper Club,715-359-2200,,thepalmswausau.com,54476
5751 Hillside Resort Trail,,,,,Supper Club,Phelps,"Phelps Hillside Restaurant overlooks the beautiful Lac Vieux Desert. Enjoy the beautiful scenery from our bar or our dining room. Stop in, grab a drink and a bite to eat, and see why we love being in the Northwoods.",,juliestocke@hotmail.com,,,,,Phelps Hillside Restaurant,715-547-3646,,www.northwoodsresorts.com,54554
1801 N Humboldt Avenue,,,,,Supper Club,Milwaukee,"Our specialty is Bar-B-Que baby back ribs served with our famous homemade hash browns, cooked in a cast iron skillet.",,pitchs272@yahoo.com,,,,,Pitch's Restaurant,414-272-9313,,www.pitchsribs.com,53202
100 City Center C,,,,,"Coffee, Cafe",Oshkosh,"Planet Perk is an Oshkosh institution since 1996. Planet Perk’s goal since 2008, when the current owner Ken Osmond purchased the business, has been to prove a business can be environmentally conscious, socially responsible, act for the betterment of the community and be successful.” We also have a cat lounge, study hall, and co-work space.",,ken@planetperkcoffeehouses.com,,,,,Planet Perk,9202359891,,http://www.planetperkcoffeehouses.com/,54901
8085 State Hwy 70 E,,,,,Supper Club,St Germain,"Enjoy yourself at this Northwood’s favorite date night destination, fine dining at its best! Discover the delicious cuisine, friendly staff, fantastic cocktails, and experience the best Supper Club in the Northwoods! We are open Wednesday through Sunday from 3pm.",,ohdespubnprime@gmail.com,,,,,Pub 'N Prime,715-479-7331,,,54558
441 South Blvd,,,,,Supper Club,Baraboo,Quindt’s is a great place for lunch and dinner. We are especially proud of our Friday Fish Fry. Our staff is friendly and our bartenders know how to pour you the most fabulous cocktails. We serve excellent food at an excellent value.,,gretchen@pointon.com,,,,,Quindt’s Towne Lounge,608-356-6950,,,53913
W2701 4th Street,,,,,Supper Club,Fond du Lac,"Every day the restaurant features flavors best described as Country Comforts with Big City Tastes™. Nowhere else in the county will you find a restaurant offering you 20 different side items, prepared in our kitchen, full of flavors, with ingredients and methods to avoid gluten.",,hailey@redcabingreenacres.com,,,,,Red Cabin at Green Acres,920-906-9110,,redcabingreenacres.com,54937
108 WI-70,,,,,Coffee,St Germain,"Our dynamic space hustles in the morning with everything you need to start your daily adventures, while at the same time offering a cozy place to slow down and connect with family and friends. Enjoy your favorite coffee, latte and espresso drinks, fresh house-baked pastries, breakfast, lunch, and an assortment of books and gifts.",,redcanoecoffeeco@gmail.com,,,,,Red Canoe Coffee,7154799402,,http://www.redcanoecoffeehouse.com/,54558
301 N Century Avenue,,,,,Supper Club,Waunakee,"Visit our old-world dining room with an American menu offering steaks & seafood, Friday Fish Fry, our famous soup & salad bar and more! Reserve semi-private dining in the Tower Room or Wine Cellar Room.",,rexsinnkeeper@gmail.com,,,,,Rex's Innkeeper,608-849-5011,,www.rexsinnkeeper.com,53597
5305 N 32nd Avenue,,,,,Supper Club,Wausau,"Richard’s is a local family owned and operated restaurant since 1987. We specialize in broasted chicken, prime rib and fish frys. Join us for dinner and meet our friendly staff!",,,,,,,Richard's Restaurant and Bar,715-675-7070,,richards-restaurant.com,54401
W11466 US-8,,,,,Supper Club,Dunbar,"Richards’ has great food and drinks. We have nightly specials and a soup & salad bar. It is a great stop to enjoy snowmobiling, hunting & fishing. Located next to the largest year round ATV/Snowmobile trail in Wisconsin.We also have a 15 unit motel & a house rental.",,richardsofdunbar@gmail.com,,,,,Richards' of Dunbar Supper Club & Motel,715-324-5444,,,54119
104 High Street,,,,,Coffee,Wrightstown,"Wrightstown’s “more than a coffee shop” right on the Fox River with outdoor seating! Serving coffee, tea, sandwiches, salads, ice cream, bakery, adult beverages, and more. Known for our bacon, breakfast sandwiches & locally-smoked salmon menu items.",,Deborah.tews@therivercoffeeandcream.com,,,,,The River Coffee & Cream,9205328044,,,54180
6053 Rock Falls Road,,,,,Supper Club,Luxemburg,"Just north of Green Bay, Rock Falls has been known for its classic Old Fashioneds, Crispy Haystacks,Friday Fish Frys, and Hand-Cut Steaks for more than 80 years.",,,,,,,Rock Falls Supper Club,920-866-2638,,,54217
W5670 County Road A,,,,,Supper Club,Black Creek,"We have fantastic, “Genuine” Broaster® Chicken that attracts people from around the region. Our staff is very friendly. Don’t miss our buffets and the steer statue on the roof.",,romyssmiles4u@aol.com,,,,,Romy's Nitingale,920-984-3631,,romysbanquethall.com,54106
1102 W Washington Avenue,,,,,Supper Club,Cleveland,We are newer owners and are proud to say that most of the staff are still with us. We wet age and hand-cut our steaks. We also make fresh pastas and soups for the salad bar.,,ruppsonwashington@yahoo.com,,,,,Rupp's Supper Club,920-693-2017,,www.ruppsonwashington.com,53015
10049 W Forest Home Avenue,,,,,Supper Club,Hales Corners,Sandra’s on the Park is a Supper Club with a modern twist giving the best to our patrons.,,,,,,,Sandra's on the Park,414-292-9745,,sandrasonthepark.com,53130
4320 80th Street S,,,,,Supper Club,Wisconsin Rapids,Savory Steakhouse is a Supper Club with a very extensive menu. We have a strong culinary focus in the kitchen and mixologists at the bar.,,savorysteakhouse@yahoo.com,,,,,Savory Steakhouse,715-712-1330,,www.savorysteakhouse.com,54494
203 W Water Street,,,,,Coffee,Shullsburg,"Second Chance is born of a love story. Patrick left Wisconsin and his high school sweethart, Shelly, for college and was gone for 35 years. His son, a touring musician, was doing a show in Southwest Wisconsin, so he decided to go. Shelly’s daughter told her mom she was going to see the show. Recognizing the name, she decided to attend. The two met again, rekindled their relationship, and now run the shop.",,secondchancecoffee@outlook.com,,,,,Second Chance Coffee & Music,6086091323,,,53586
525 College Street,,,,,Coffee,Milton,"Come eat, drink & relax!You’ll love our handcrafted espresso drinks, freshly roasted coffee, delicious cold brew & homemade scones. Our menu is always changing, check us out online! See you soon!",,sharla@sharlascoffee.com,,,,,Sharla's Coffee Stop,6083225836,,http://sharlascoffee.com/,53563
W6009 Taylor Lane,,,,,Supper Club,Tomahawk,"The Silver Birch was built on the shores of beautiful Half Moon Lake in 1903 by Matt Nick. For years it has served as a beautiful, relaxing haven for local friends and visitors from afar. It has long played a role in Tomahawk’s entertainment history. ",,silverbirchsupperclub@gmail.com,,,,,Silver Birch Supper Club,715-453-2025,,silverbirchsupperclub.com,54487
222 S Main Street,,,,,Supper Club,Waupaca,"Our Supper Club has a long tradition of great food, service, and drinks.  We have a relaxed atmosphere where anyone is welcome.  Our iconic wooden bar and wood fireplace is the place everyone wants to hang out. Serving Friday Fish Fry & Saturday Prime Rib to die for.",,skibumutah@yahoo.com,,,,,Simpson's in Waupaca,715-258-2330,,simpsonswaupaca.com,54981
10640 N Bay Shore Drive,,,,,Supper Club,Sister Bay,"Come for the food & stay for the fun. This locally owned & operated Supper Club serves scrumptious food & drinks. You’ll love the delectable steaks and perch. Bring your family and friends to our 6 lanebowling after the meal.",,earlsisterbaybowl@gmail.com,,,,,Sister Bay Bowl,920-854-2841,,sisterbaybowl.com,54234
2202 Post Road,,,,,Supper Club,Plover,"Sky Club is the first restaurant known to serve a salad bar! We introduced the idea in 1950. Check out the iconic Supper Club for a classic Wisconsin supper club experience. We also sell our own old fashioned mix called Shifty’s Old Fashioned Mix.",,skyclub@att.net,,,,,Sky Club Supper Club,715-341-4000,,www.skyclubdining.com,54467
3097 Sunnyside Street,,,,,Supper Club,Stoughton,"Springers is a historic lakefront Supper Club. We are known for our Prime Rib, steak and seafood.",,,,,,,Springers of Lake Kegonsa,608-205-9300,,springersonthelake.com,53589
3385 S Kinnickinnic Avenue,,,,,Coffee,Milwaukee,"Sprocket Café takes pride in the quality of the beans used for each and every drink. If your beverage is not perfect and created just the way you wanted it, we’ll make it again.  We guarantee your drink will be fresh, hot, and just the way you like it. Plus locally made cake, made to order sandwiches and wholesale coffee too!",,sprocketcafe@gmail.com,,,,,Sprocket Cafe,4145394040,,http://sprocketcafe.weebly.com/,53207
2711 County Rd CX,,,,,Supper Club,Portage,"Top-quality steaks, fresh seafood, fine wines, and classic cocktails, you’ll find them all at Suzy’s, an oasis of great food and warm hospitality on Portage’s North side. We’re locally owned, locally loved. Come taste why.",,mairjennifer222@gmail.com,,,,,Suzy's Steak & Seafood,608-742-8400,,suzysportage.com,53901
1315 Forrest Avenue,,,,,Supper Club,Antigo,"We offer a full dinner menu and are known for our steaks. We also serve prime rib, seafood, Friday fish fry, burgers, and we have the area’s best salad bar. We provide high-quality food, great cocktails in our lounge, and pride ourselves on attentive service from our waitstaff and bartenders.",,linswartz62@gmail.com,,,,,Swartzendruber's Supper Club,715-627-7027,,swartzendrubers.com,54409
10432 WI-77,,,,,Supper Club,Hayward,"Tally Ho Supper Club is a family-owned business, specializing in welcoming and serving your family and friends. We ensure that you will have the best dining experience, whatever the occasion. Special Holidays are marked with our famous five-course meals.",,,,,,,Tally Ho Supper Club,715-462-3646,,www.tallyhosupperclub.com,54843
507 N Madison Street,,,,,Coffee,Chilton,"We pride ourselves in bringing the best quality coffee from our roaster to your cup. Each coffee must follow these strict criteria:1) Must be certified organic.2) Minimum of 86 in the SCA grading scale.3) Comes from a producer, co-op or org that has a social, economic, and environmental impact in the immediate area where it is produced.",,,,,,,Terra Verde Coffee House,9208499050,,http://www.terraverdecoffee.com/,53014
32800 Co Rd K,,,,,Supper Club,Prairie du Chien,The Barn has never-ending charm and atmosphere. We inspire customers with curiosity as our spacious restaurant seems to go on and on. The wandering customer can easily discover a new nook and cranny of the restaurant or grounds during almost every visit.,,,,,,,The Barn Restaurant,6083264941,,https://www.thebarnrestaurantpdc.com/,53821
632 E Main Street,,,,,Supper Club,Suring,"The Boarding House is known for its Prime Rib, which is served nightly. It’s like a step back in time and a true, historic Wisconsin Supper Club with an old-time look and feel with a rich history.",,,,,,,The Boarding House,920-842-2490,,www.theboardinghousesupperclub.com,54174
1045 S Superior Street,,,,,Coffee,Antigo,"The Brown Mug is a friendly coffee & gift shop on the South side of Antigo. Creating an easy environment for guests from around the state. They pride themselves on a fun, community focused approach.",,Homabrown@hotmail.com,,,,,The Brown Mug,9206807044,,,54409
20 S Main Steet,,,,,Coffee,Edgerton,"The Depot offers a quiet work space with Wifi. Perfect place to study, read, or catch up with friends. We have a beautiful deck for outdoor seating with umbrellas for convenient shade. ",,Bretteddy@ymail.com,,,,,The Coffee Depot,6088840300,,,53534
4212 Southtowne Drive,,,,,Coffee,Eau Claire,"We’re a second generation family business. Started in 1991 we’re headed into our 33rd year! At The Coffee Grounds we roast our own coffee, use local ingredients in our restaurant and brewery, and have a great selection of specialty items like wine, beer, spirits, cheese and chocolate.",,"wpmthecoffeegrounds@gmail.com, willm@thecoffeegrounds.com",,,,,The Coffee Grounds,7158341733,,http://www.thecoffeegrounds.com/,54701
800 Wisconsin Dells Pkwy,,,,,Supper Club,Wisconsin Dells,"While flattering comparisons to steakhouses in Chicago & New York are regularly made by visitors, we still cherish the restaurant as one-of-a-kind. It’s an award-winning, casual fine dining restaurant known for prime grade, custom-aged steaks.",,info@del-bar.com,,,,,The Del-Bar,608-253-1861,,www.del-bar.com,53965
37505 US-18,,,,,Supper Club,Prairie du Chien,"The Drake Piano Bar is a modern twist on the classic supper club experience - featuring generous portions of locally sourced food, hand crafted artisan cocktails, and only live music.",,karylfritsche@icloud.com,,,,,The Drake Piano Bar,608-228-4020,,www.thedrakepdc.com,53821
23 N 3rd Avenue,,,,,Coffee,Sturgeon Bay,"A coffeeshop and epic board game hub all in one. The Gnoshery is a cozy spot in the heart of Downtown Sturgeon Bay, Door County. Grab a drink, be surrounded by the most unique board games ever made, and of course the classics.",,paula@gnomegames.com,,,,,The Gnoshery,9208180727,,https://the-gnoshery.com/,54235
208 S Holmen Drive,,,,,Coffee,Holmen,"We take pride in offering farm-crafted Wonderstate Coffee, Rishi Tea, and locally made baked goods & treats from Meringue Bakery, Fayze’s, and Linda’s Bakery. Come relax and enjoy our inviting and friendly coffee house in our hometown of Holmen, Wisconsin.",,"liz@obrien-and-associates.com, manager@thegrindholmen.com",,,,,The Grind Coffee House,6085186624,,http://www.thegrindholmen.com/,54636
4173 Co Hwy P,,,,,Supper Club,Cross Plains,"We are a true Wisconsin Supper Club nestled atop a rolling hill, just minutes from Madison. The Hilltop features choice steaks, slow roasted Prime Rib, cod and perch Fish Fry, pork porterhouse and pork back ribs.",,thehilltopcrossplains@gmail.com,,,,,The Hilltop,608-798-2893,,thehilltopcp.com,53528
213 Allen Street,,,,,Coffee,Clinton,,,thelittlecastle1933@gmail.com,,,,,The Little Castle Coffee Shop,,,https://thelittlecastle193.wixsite.com/the-little-castle-co,53525
W2782 WI-33,,,,,Supper Club,La Crosse,"Try The Ridge’s Famous Prime Rib every Friday, Saturday and Sunday. We also offer a fresh fish menu and weekly specials. Don’t miss out on our salad bar.",,theridgerestaurant3@gmail.com,,,,,The Ridge,608-788-3969,,,54601
821 Main Street,,,,,Coffee,Oconto,"The Shop on Main offers espresso, tea, ice cream, gifts, and more in the heart of Oconto.",,"theshoponmainoconto@gmail.com, Lynn.hearley@gmail.com",,,,,The Shop on Main,9203716039,,,54153
125 S Main Streeet,,,,,Coffee,Verona,"Locally owned and operated since 2000, The Sow’s Ear is the Midwest’s first combined yarn store and coffee shop!",,socialmedia@knitandsip.com,,,,,The Sows Ear,6088482755,,https://www.knitandsip.com/cafe/,53593
15860 T Bone Lane,,,,,Supper Club,Hayward,Relax among the old timbers spanning our spacious ceilings in our fireplace lounge. We are proud to serve the finest and freshest selections prepared with care and elegance.,,,,,,,The Steakhouse and Lodge,715-934-4411,,www.steakhouseandlodge.com,54843
